Model,MAE,MSE,RMSE,R2
Dummy (Mean),0.0065406189447756394,5.7006380532770424e-05,0.007550256984551614,-0.00039779410217088973
Linear Regression,0.0016693390527164442,5.026397771861486e-06,0.0022419629282977643,0.9117923783924556
Ridge Regression,0.0026073057871380846,1.1089297322165074e-05,0.0033300596574483577,0.8053953175844979
SVR,0.0005535781622788721,4.2626328723978684e-07,0.0006528884186748811,0.9925195592444904
Decision Tree,0.0004930875576037129,1.0695433598659423e-06,0.0010341872943843114,0.9812307182475577
Random Forest,0.0003099287808964953,4.0441013824879775e-07,0.0006359324950407848,0.9929030574045289
