Model,MAE,MSE,RMSE,R2
Dummy (Mean),0.012716905040039838,0.00021506800090151593,0.01466519692678949,-0.00044558033671471264
Linear Regression,0.004531265102454332,3.4157452087765266e-05,0.005844437705011943,0.8411075946513483
Ridge Regression,0.005453372224354513,4.391349298259312e-05,0.0066267256607311815,0.795724795007043
SVR,0.000592477458348183,4.681128496186183e-07,0.0006841877298071183,0.9978224495064971
Decision Tree,0.0009773774612484307,2.3112693757855076e-06,0.0015202859519792675,0.9892485203643518
Random Forest,0.0004893674067867597,8.201517385839376e-07,0.0009056222935550657,0.996184847682443
